agent_id,horizon_step_0,horizon_step_1,horizon_step_2,horizon_step_3,horizon_step_4
876,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
877,"(5, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
878,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
879,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
880,"(9, 0)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
881,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
882,"(4, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
883,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
884,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
885,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
886,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
887,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
888,"(17, 1)","(12, 1)","(7, 1)","(18, 0)","(18, 0)"
889,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
890,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
891,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
892,"(16, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
893,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
894,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
895,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
896,"(16, 1)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
897,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
898,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
899,"(13, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
900,"(14, 1)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
901,"(14, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
902,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
903,"(16, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
904,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
905,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
906,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
907,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
908,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
909,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
910,"(17, 1)","(12, 1)","(7, 1)","(18, 0)","(18, 0)"
911,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
912,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
913,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
914,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
915,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
916,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
917,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
918,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
919,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
920,"(5, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
921,"(14, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
922,"(0, 1)","(5, 1)","(8, 0)","(8, 0)","(8, 0)"
923,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
924,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
925,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
926,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
927,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
928,"(0, 1)","(5, 1)","(2, 1)","(3, 1)","(18, 0)"
929,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
930,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
931,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
932,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
933,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
934,"(17, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
935,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
936,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
937,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
938,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
939,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
940,"(16, 1)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
941,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
942,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
943,"(1, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
944,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
945,"(2, 0)","(2, 0)","(2, 0)","(2, 0)","(2, 0)"
946,"(15, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
947,"(9, 0)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
948,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
949,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
950,"(4, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
951,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
952,"(14, 1)","(10, 1)","(7, 1)","(18, 0)","(18, 0)"
953,"(13, 1)","(9, 1)","(10, 0)","(10, 0)","(10, 0)"
954,"(0, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
955,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
956,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
957,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
958,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
959,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
960,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
961,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
962,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
963,"(5, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
964,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
965,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
966,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
967,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
968,"(16, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
969,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
970,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
971,"(8, 1)","(5, 1)","(2, 1)","(3, 1)","(18, 0)"
972,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
